 Link  Scale    Value   Stride   Height     Area    Duty%
---------------------------------------------------------
   L1   0.85     9.60    40.96    14.39   176.29    41.8%
   L1   0.90    10.16    43.31    15.75   209.72    43.2%
   L1   0.95    10.73    45.63    17.26   248.82    44.6%
   L1   1.00    11.29    47.95    18.97   294.70    46.0%
   L1   1.05    11.85    50.24    20.94   348.88    47.5%
   L1   1.10    12.42    52.51    23.28   413.50    49.0%
   L1   1.15    12.98    54.76    26.20   491.99    50.7%
   L4   0.85    27.99    53.21    51.86  1225.00    61.2%
   L4   0.90    29.64    51.63    50.01   929.39    59.2%
   L4   0.95    31.28    49.83    26.38   478.66    47.9%
   L4   1.00    32.93    47.95    18.97   294.70    46.0%
   L4   1.05    34.58    46.04    14.50   170.71    43.6%
   L4   1.10    36.22    44.17    11.54    81.13    37.9%
   L4   1.15    37.87    42.36     9.48    14.18    27.8%
   L8   0.85    35.51    40.83    45.73   966.98    62.4%
   L8   0.90    37.60    43.73    49.01   913.43    62.0%
   L8   0.95    39.69    46.10    28.51   501.59    48.9%
   L8   1.00    41.78    47.95    18.97   294.70    46.0%
   L8   1.05    43.87    49.41    13.99   152.40    43.6%
   L8   1.10    45.96    50.60    11.02    31.05    35.1%
   L8   1.15    48.05    51.59     9.42    86.39    21.1%
